Subject	journal	impact_factor	Cas
OTORHINOLARYNGOLOGY	ANNALS OF OTOLOGY RHINOLOGY AND LARYNGOLOGY	1.458 	Q3
OTORHINOLARYNGOLOGY	JOURNAL OF VOICE	1.453 	Q3
OTORHINOLARYNGOLOGY	AURIS NASUS LARYNX	1.444 	Q3
OTORHINOLARYNGOLOGY	Acta Otorhinolaryngologica Italica	1.408 	Q3
OTORHINOLARYNGOLOGY	ENT-EAR NOSE & THROAT JOURNAL	1.375 	Q3
OTORHINOLARYNGOLOGY	Journal of the American Academy of Audiology	1.358 	Q3
OTORHINOLARYNGOLOGY	American Journal of Audiology	1.340 	Q4
OTORHINOLARYNGOLOGY	European Annals of Otorhinolaryngology-Head and Neck Diseases	1.318 	Q4
OTORHINOLARYNGOLOGY	Current Opinion in Otolaryngology & Head and Neck Surgery	1.293 	Q3
OTORHINOLARYNGOLOGY	ACTA OTO-LARYNGOLOGICA	1.286 	Q4
OTORHINOLARYNGOLOGY	JOURNAL OF LARYNGOLOGY AND OTOLOGY	1.261 	Q4
OTORHINOLARYNGOLOGY	INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY	1.225 	Q4
OTORHINOLARYNGOLOGY	ORL-Journal for Oto-Rhino-Laryngology Head and Neck Surgery	1.052 	Q4
OTORHINOLARYNGOLOGY	AMERICAN JOURNAL OF OTOLARYNGOLOGY	0.932 	Q4
OTORHINOLARYNGOLOGY	HNO	0.914 	Q4
OTORHINOLARYNGOLOGY	LARYNGO-RHINO-OTOLOGIE	0.853 	Q4
OTORHINOLARYNGOLOGY	Logopedics Phoniatrics Vocology	0.818 	Q4
OTORHINOLARYNGOLOGY	Journal of International Advanced Otology	0.735 	Q4
OTORHINOLARYNGOLOGY	FOLIA PHONIATRICA ET LOGOPAEDICA	0.544 	Q4
OTORHINOLARYNGOLOGY	B-ENT	0.263 	Q4
PALEONTOLOGY	PALEOCEANOGRAPHY	3.087 	Q2
PALEONTOLOGY	MARINE MICROPALEONTOLOGY	2.663 	Q1
PALEONTOLOGY	PALAEONTOLOGY	2.632 	Q1
PALEONTOLOGY	PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY	2.616 	Q2
PALEONTOLOGY	VEGETATION HISTORY AND ARCHAEOBOTANY	2.482 	Q1
PALEONTOLOGY	PALEOBIOLOGY	2.354 	Q2
PALEONTOLOGY	JOURNAL OF SYSTEMATIC PALAEONTOLOGY	2.315 	Q4
PALEONTOLOGY	CRETACEOUS RESEARCH	2.120 	Q1
PALEONTOLOGY	Papers in Palaeontology	2.056 	Q4
PALEONTOLOGY	Earth and Environmental Science Transactions of the Royal Society of Edinburgh	1.840 	Q3
PALEONTOLOGY	COMPTES RENDUS PALEVOL	1.818 	Q2
PALEONTOLOGY	Journal of Palaeogeography-English	1.744 	Q4
PALEONTOLOGY	JOURNAL OF VERTEBRATE PALEONTOLOGY	1.738 	Q1
PALEONTOLOGY	LETHAIA	1.736 	Q1
PALEONTOLOGY	FACIES	1.719 	Q2
PALEONTOLOGY	REVIEW OF PALAEOBOTANY AND PALYNOLOGY	1.674 	Q2
PALEONTOLOGY	ACTA PALAEONTOLOGICA POLONICA	1.639 	Q2
PALEONTOLOGY	PALAIOS	1.636 	Q2
PALEONTOLOGY	JOURNAL OF PALEONTOLOGY	1.584 	Q2
PALEONTOLOGY	JOURNAL OF MICROPALAEONTOLOGY	1.500 	Q3
PALEONTOLOGY	BULLETIN OF GEOSCIENCES	1.500 	Q4
PALEONTOLOGY	HISTORICAL BIOLOGY	1.489 	Q2
PALEONTOLOGY	JOURNAL OF FORAMINIFERAL RESEARCH	1.404 	Q2
PALEONTOLOGY	PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION	1.366 	Q2
PALEONTOLOGY	PALAEONTOLOGIA ELECTRONICA	1.366 	Q2
PALEONTOLOGY	Palaeontographica Abteilung B-Palaeophytologie Palaeobotany-Palaeophytology	1.364 	Q3
PALEONTOLOGY	Fossil Record	1.345 	Q4
PALEONTOLOGY	GEODIVERSITAS	1.304 	Q3
PALEONTOLOGY	International Journal of Paleopathology	1.301 	Q3
PALEONTOLOGY	AMEGHINIANA	1.299 	Q3
PALEONTOLOGY	PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE	1.294 	Q3
PALEONTOLOGY	Palaeontologische Zeitschrift	1.271 	Q3
PALEONTOLOGY	PALYNOLOGY	1.253 	Q3
PALEONTOLOGY	RIVISTA ITALIANA DI PALEONTOLOGIA E STRATIGRAFIA	1.232 	Q2
PALEONTOLOGY	GEOBIOS	1.211 	Q3
PALEONTOLOGY	BOLLETTINO DELLA SOCIETA PALEONTOLOGICA ITALIANA	1.191 	Q3
PALEONTOLOGY	CARNETS DE GEOLOGIE	1.175 	Q4
PALEONTOLOGY	Palaeoworld	1.142 	Q3
PALEONTOLOGY	GFF	1.076 	Q3
PALEONTOLOGY	Swiss Journal of Palaeontology	1.071 	Q4
PALEONTOLOGY	Palaeobiodiversity and Palaeoenvironments	1.070 	Q4
PALEONTOLOGY	ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES	1.043 	Q3
PALEONTOLOGY	ALCHERINGA	1.022 	Q4
PALEONTOLOGY	Geochronometria	0.865 	Q4
PALEONTOLOGY	STRATIGRAPHY AND GEOLOGICAL CORRELATION	0.838 	Q3
PALEONTOLOGY	NEUES JAHRBUCH FUR GEOLOGIE UND PALAONTOLOGIE-ABHANDLUNGEN	0.778 	Q4
PALEONTOLOGY	PALEONTOLOGICAL JOURNAL	0.716 	Q4
PALEONTOLOGY	PalZ	0.698 	Q4
PALEONTOLOGY	ANNALES DE PALEONTOLOGIE	0.681 	Q4
PALEONTOLOGY	REVISTA BRASILEIRA DE PALEONTOLOGIA	0.667 	Q4
PALEONTOLOGY	AFRICAN INVERTEBRATES	0.667 	Q4
PALEONTOLOGY	JOURNAL OF THE PALAEONTOLOGICAL SOCIETY OF INDIA	0.610 	Q4
PALEONTOLOGY	PALEONTOLOGICAL RESEARCH	0.600 	Q4
PALEONTOLOGY	ANNALS OF CARNEGIE MUSEUM	0.458 	Q4
PALEONTOLOGY	Stratigraphy	0.450 	Q4
PALEONTOLOGY	MICROPALEONTOLOGY	0.400 	Q4
PALEONTOLOGY	Paleoceanography and Paleoclimatology		Q4
PARASITOLOGY	Cell Host & Microbe	15.753 	Q1
PARASITOLOGY	TRENDS IN PARASITOLOGY	8.020 	Q2
PARASITOLOGY	PLoS Pathogens	6.463 	Q1
PARASITOLOGY	Advances in Parasitology	5.547	Q3
PARASITOLOGY	PLoS Neglected Tropical Diseases	4.487 	Q1
PARASITOLOGY	INTERNATIONAL JOURNAL FOR PARASITOLOGY	3.478 	Q1
PARASITOLOGY	Ticks and Tick-Borne Diseases	3.055 	Q2
PARASITOLOGY	Parasites & Vectors	3.031 	Q1
PARASITOLOGY	International Journal for Parasitology-Drugs and Drug Resistance	2.951 	Q4
PARASITOLOGY	MALARIA JOURNAL	2.798 	Q2
PARASITOLOGY	PARASITE IMMUNOLOGY	2.755 	Q2
PARASITOLOGY	ACTA TROPICA	2.629 	Q2
PARASITOLOGY	PARASITOLOGY	2.456 	Q2
PARASITOLOGY	MEMORIAS DO INSTITUTO OSWALDO CRUZ	2.368 	Q2
PARASITOLOGY	MOLECULAR AND BIOCHEMICAL PARASITOLOGY	2.158 	Q2
PARASITOLOGY	International Journal for Parasitology-Parasites and Wildlife	2.075 	Q4
PARASITOLOGY	PARASITOLOGY RESEARCH	2.067 	Q2
PARASITOLOGY	PARASITOLOGY INTERNATIONAL	2.017 	Q3
PARASITOLOGY	VETERINARY PARASITOLOGY	2.009 	Q3
PARASITOLOGY	Pathogens and Global Health	1.969 	Q4
PARASITOLOGY	Parasite	1.958 	Q3
PARASITOLOGY	EXPERIMENTAL PARASITOLOGY	1.719 	Q3
PARASITOLOGY	Revista da Sociedade Brasileira de Medicina Tropical	1.498 	Q3
PARASITOLOGY	JOURNAL OF VECTOR BORNE DISEASES	1.473 	Q4
PARASITOLOGY	JOURNAL OF HELMINTHOLOGY	1.436 	Q3
PARASITOLOGY	SYSTEMATIC PARASITOLOGY	1.408 	Q3
PARASITOLOGY	FOLIA PARASITOLOGICA	1.405 	Q3
PARASITOLOGY	JOURNAL OF PARASITOLOGY	1.238 	Q4
PARASITOLOGY	Journal of Arthropod-Borne Diseases	1.231 	Q4
PARASITOLOGY	KOREAN JOURNAL OF PARASITOLOGY	1.167 	Q4
PARASITOLOGY	REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA	1.013 	Q4
PARASITOLOGY	ACTA PARASITOLOGICA	0.968 	Q4
PARASITOLOGY	Iranian Journal of Parasitology	0.735 	Q4
PARASITOLOGY	HELMINTHOLOGIA	0.731 	Q4
PARASITOLOGY	COMPARATIVE PARASITOLOGY	0.520 	Q4
PARASITOLOGY	TROPICAL BIOMEDICINE	0.418 	Q4
PARASITOLOGY	Boletin de Malariologia y Salud Ambiental	0.111 	Q4
PATHOLOGY	ACTA NEUROPATHOLOGICA	18.174 	Q1
PATHOLOGY	Annual Review of Pathology-Mechanisms of Disease	13.833 	Q2
PATHOLOGY	NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY	6.878 	Q2
PATHOLOGY	Seminars in Immunopathology	6.804 	Q3
PATHOLOGY	MODERN PATHOLOGY	6.365 	Q1
PATHOLOGY	AMERICAN JOURNAL OF SURGICAL PATHOLOGY	6.155 	Q1
PATHOLOGY	BRAIN PATHOLOGY	6.155 	Q2
PATHOLOGY	JOURNAL OF PATHOLOGY	5.942 	Q1
PATHOLOGY	CELLULAR ONCOLOGY	5.020 	Q4
PATHOLOGY	JOURNAL OF MOLECULAR DIAGNOSTICS	4.426 	Q2
PATHOLOGY	CANCER CYTOPATHOLOGY	4.425 	Q3
PATHOLOGY	ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE	4.151 	Q1
PATHOLOGY	Disease Models & Mechanisms	4.028 	Q2
PATHOLOGY	AMERICAN JOURNAL OF PATHOLOGY	3.762 	Q1
PATHOLOGY	LABORATORY INVESTIGATION	3.684 	Q2
PATHOLOGY	ADVANCES IN ANATOMIC PATHOLOGY	3.530 	Q3
PATHOLOGY	Brain Tumor Pathology	3.509 	Q4
PATHOLOGY	JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY	3.460 	Q2
PATHOLOGY	ENDOCRINE PATHOLOGY	3.366 	Q3
PATHOLOGY	HISTOPATHOLOGY	3.294 	Q3
PATHOLOGY	PATHOLOGY	3.163 	Q2
PATHOLOGY	EXPERT REVIEW OF MOLECULAR DIAGNOSTICS	3.099 	Q2
PATHOLOGY	CYTOMETRY PART B-CLINICAL CYTOMETRY	2.938 	Q3
PATHOLOGY	VIRCHOWS ARCHIV	2.868 	Q2
PATHOLOGY	HLA	2.785 	Q4
PATHOLOGY	DISEASE MARKERS	2.761 	Q2
PATHOLOGY	HUMAN PATHOLOGY	2.740 	Q2
PATHOLOGY	Diagnostic Pathology	2.528 	Q2
PATHOLOGY	PATHOLOGY & ONCOLOGY RESEARCH	2.433 	Q3
PATHOLOGY	ALZHEIMER DISEASE & ASSOCIATED DISORDERS	2.378 	Q3
PATHOLOGY	EXPERIMENTAL AND MOLECULAR PATHOLOGY	2.350 	Q2
PATHOLOGY	JOURNAL OF CLINICAL PATHOLOGY	2.346 	Q2
PATHOLOGY	APMIS	2.225 	Q4
PATHOLOGY	INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY	2.180 	Q4
PATHOLOGY	NEUROPATHOLOGY	2.161 	Q3
PATHOLOGY	VETERINARY PATHOLOGY	2.116 	Q2
PATHOLOGY	SEMINARS IN DIAGNOSTIC PATHOLOGY	2.084 	Q3
PATHOLOGY	PATHOLOGY INTERNATIONAL	2.082 	Q2
PATHOLOGY	JOURNAL OF ORAL PATHOLOGY & MEDICINE	2.030 	Q2
PATHOLOGY	INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY	2.006 	Q3
PATHOLOGY	AMERICAN JOURNAL OF CLINICAL PATHOLOGY	1.962 	Q3
PATHOLOGY	APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY	1.863 	Q3
PATHOLOGY	PATHOBIOLOGY	1.831 	Q4
PATHOLOGY	Forensic Science Medicine and Pathology	1.815 	Q3
PATHOLOGY	PATHOLOGY RESEARCH AND PRACTICE	1.794 	Q3
PATHOLOGY	Analytical Cellular Pathology	1.788 	Q4
PATHOLOGY	HISTOLOGY AND HISTOPATHOLOGY	1.777 	Q4
PATHOLOGY	CARDIOVASCULAR PATHOLOGY	1.765 	Q3
PATHOLOGY	SCIENCE & JUSTICE	1.675 	Q3
PATHOLOGY	Annals of Diagnostic Pathology	1.608 	Q3
PATHOLOGY	JOURNAL OF CUTANEOUS PATHOLOGY	1.524 	Q3
PATHOLOGY	INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY	1.494 	Q3
PATHOLOGY	CYTOPATHOLOGY	1.473 	Q4
PATHOLOGY	DIAGNOSTIC CYTOPATHOLOGY	1.402 	Q3
PATHOLOGY	Medical Molecular Morphology	1.383 	Q4
PATHOLOGY	TOXICOLOGIC PATHOLOGY	1.382 	Q3
PATHOLOGY	International Journal of Paleopathology	1.301 	Q3
PATHOLOGY	JOURNAL OF COMPARATIVE PATHOLOGY	1.249 	Q4
PATHOLOGY	ULTRASTRUCTURAL PATHOLOGY	1.198 	Q4
PATHOLOGY	FOLIA NEUROPATHOLOGICA	1.160 	Q4
PATHOLOGY	Journal of Toxicologic Pathology	1.153 	Q4
PATHOLOGY	CytoJournal	1.042 	Q4
PATHOLOGY	PEDIATRIC AND DEVELOPMENTAL PATHOLOGY	1.008 	Q4
PATHOLOGY	INTERNATIONAL JOURNAL OF SURGICAL PATHOLOGY	0.975 	Q4
PATHOLOGY	CLINICAL NEUROPATHOLOGY	0.947 	Q4
PATHOLOGY	POLISH JOURNAL OF PATHOLOGY	0.664 	Q4
PATHOLOGY	Fetal and Pediatric Pathology	0.626 	Q4
PATHOLOGY	PATHOLOGE	0.546 	Q4
PATHOLOGY	LEPROSY REVIEW	0.541 	Q4
PATHOLOGY	AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY	0.539 	Q4
PATHOLOGY	Indian Journal of Pathology and Microbiology	0.521 	Q4
PATHOLOGY	ANNALES DE PATHOLOGIE	0.415 	Q4
PATHOLOGY	Journal of Hematopathology	0.410 	Q4
PATHOLOGY	Malaysian Journal of Pathology	0.393 	Q4
PATHOLOGY	Medecine Nucleaire-Imagerie Fonctionnelle et Metabolique	0.268 	Q4
PATHOLOGY	International Journal of Clinical and Experimental Pathology	0.205 	Q4
PEDIATRICS	JAMA Pediatrics	12.004 	Q1
PEDIATRICS	JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY	6.391 	Q1
PEDIATRICS	PEDIATRICS	5.401 	Q1
PEDIATRICS	PEDIATRIC ALLERGY AND IMMUNOLOGY	4.654 	Q1
PEDIATRICS	JOURNAL OF ADOLESCENT HEALTH	3.957 	Q1
PEDIATRICS	Seminars in Fetal & Neonatal Medicine	3.846 	Q2
PEDIATRICS	Archives of Disease in Childhood-Fetal and Neonatal Edition	3.776 	Q2
PEDIATRICS	EUROPEAN CHILD & ADOLESCENT PSYCHIATRY	3.740 	Q1
PEDIATRICS	JOURNAL OF PEDIATRICS	3.739 	Q1
PEDIATRICS	Pediatric Obesity	3.713 	Q3
PEDIATRICS	DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY	3.532 	Q1
PEDIATRICS	PEDIATRIC DIABETES	3.347 	Q2
PEDIATRICS	PEDIATRIC DENTISTRY	3.312 	Q2
PEDIATRICS	Maternal and Child Nutrition	3.305 	Q2
PEDIATRICS	ARCHIVES OF DISEASE IN CHILDHOOD	3.158 	Q1
PEDIATRICS	JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION	3.015 	Q1
PEDIATRICS	SEMINARS IN PERINATOLOGY	2.883 	Q2
PEDIATRICS	PEDIATRIC RESEARCH	2.880 	Q1
PEDIATRICS	PEDIATRIC NEPHROLOGY	2.816 	Q1
PEDIATRICS	PEDIATRIC PULMONOLOGY	2.801 	Q1
PEDIATRICS	Pediatric Critical Care Medicine	2.798 	Q1
PEDIATRICS	CLINICS IN PERINATOLOGY	2.798 	Q2
PEDIATRICS	PAEDIATRIC AND PERINATAL EPIDEMIOLOGY	2.681 	Q2
PEDIATRICS	Pediatric Rheumatology	2.673 	Q3
PEDIATRICS	Paediatric Respiratory Reviews	2.615 	Q3
PEDIATRICS	Neonatology	2.554 	Q2
PEDIATRICS	Academic Pediatrics	2.537 	Q2
PEDIATRICS	EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY	2.496 	Q2
PEDIATRICS	PEDIATRIC BLOOD & CANCER	2.486 	Q1
PEDIATRICS	International Breastfeeding Journal	2.475 	Q4
PEDIATRICS	Seminars in Pediatric Surgery	2.462 	Q3
PEDIATRICS	Childhood Obesity	2.426 	Q3
PEDIATRICS	Frontiers in Pediatrics	2.349 	Q3
PEDIATRICS	JOURNAL OF HUMAN LACTATION	2.349 	Q3
PEDIATRICS	CURRENT OPINION IN PEDIATRICS	2.333 	Q2
PEDIATRICS	Current Problems in Pediatric and Adolescent Health Care	2.333 	Q4
PEDIATRICS	PEDIATRIC NEUROLOGY	2.326 	Q2
PEDIATRICS	Hormone Research in Paediatrics	2.324 	Q3
PEDIATRICS	PEDIATRIC INFECTIOUS DISEASE JOURNAL	2.317 	Q2
PEDIATRICS	Journal of Pediatric and Adolescent Gynecology	2.298 	Q3
PEDIATRICS	Journal of the Pediatric Infectious Diseases Society	2.269 	Q4
PEDIATRICS	PEDIATRIC CLINICS OF NORTH AMERICA	2.266 	Q2
PEDIATRICS	ACTA PAEDIATRICA	2.265 	Q2
PEDIATRICS	JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS	2.256 	Q2
PEDIATRICS	EUROPEAN JOURNAL OF PEDIATRICS	2.188 	Q2
PEDIATRICS	Journal of Neurosurgery-Pediatrics	2.170 	Q2
PEDIATRICS	JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY	2.160 	Q2
PEDIATRICS	BIRTH-ISSUES IN PERINATAL CARE	2.129 	Q3
PEDIATRICS	JOURNAL OF PEDIATRIC SURGERY	2.092 	Q2
PEDIATRICS	JOURNAL OF CHILD NEUROLOGY	2.092 	Q2
PEDIATRICS	International Journal of Paediatric Dentistry	2.057 	Q3
PEDIATRICS	Journal of Perinatology	2.046 	Q2
PEDIATRICS	JOURNAL OF PEDIATRIC ORTHOPAEDICS	2.046 	Q2
PEDIATRICS	PEDIATRIC ANESTHESIA	2.037 	Q2
PEDIATRICS	PEDIATRIC RADIOLOGY	2.022 	Q2
PEDIATRICS	BMC Pediatrics	1.983 	Q2
PEDIATRICS	CHILD CARE HEALTH AND DEVELOPMENT	1.918 	Q2
PEDIATRICS	EARLY HUMAN DEVELOPMENT	1.853 	Q2
PEDIATRICS	PEDIATRIC DRUGS	1.760 	Q3
PEDIATRICS	Journal of Pediatric Urology	1.736 	Q2
PEDIATRICS	Italian Journal of Pediatrics	1.726 	Q3
PEDIATRICS	PEDIATRIC EXERCISE SCIENCE	1.707 	Q3
PEDIATRICS	Jornal de Pediatria	1.689 	Q3
PEDIATRICS	JOURNAL OF PAEDIATRICS AND CHILD HEALTH	1.688 	Q3
PEDIATRICS	NEUROPEDIATRICS	1.654 	Q3
PEDIATRICS	Child and Adolescent Psychiatry and Mental Health	1.642 	Q4
PEDIATRICS	AMERICAN JOURNAL OF PERINATOLOGY	1.581 	Q3
PEDIATRICS	Journal of Pediatric Nursing-Nursing Care of Children & Families	1.563 	Q3
PEDIATRICS	PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS	1.536 	Q4
PEDIATRICS	Breastfeeding Medicine	1.521 	Q3
PEDIATRICS	Seminars in Pediatric Neurology	1.506 	Q3
PEDIATRICS	Journal of Child Health Care	1.505 	Q4
PEDIATRICS	Pediatrics and Neonatology	1.497 	Q4
PEDIATRICS	Archives of Disease in Childhood-Education and Practice Edition	1.487 	Q4
PEDIATRICS	Child and Adolescent Mental Health	1.439 	Q4
PEDIATRICS	PEDIATRIC CARDIOLOGY	1.413 	Q3
PEDIATRICS	PEDIATRIC SURGERY INTERNATIONAL	1.397 	Q3
PEDIATRICS	CLINICAL PEDIATRICS	1.383 	Q3
PEDIATRICS	Paediatrics and International Child Health	1.362 	Q4
PEDIATRICS	JOURNAL OF PERINATAL MEDICINE	1.361 	Q3
PEDIATRICS	CHILDS NERVOUS SYSTEM	1.327 	Q3
PEDIATRICS	PEDIATRIC TRANSPLANTATION	1.326 	Q3
PEDIATRICS	Journal of Childrens Orthopaedics	1.296 	Q3
PEDIATRICS	JOURNAL OF TROPICAL PEDIATRICS	1.289 	Q3
PEDIATRICS	Journal of Clinical Research in Pediatric Endocrinology	1.285 	Q4
PEDIATRICS	JOURNAL OF PEDIATRIC ENDOCRINOLOGY & METABOLISM	1.239 	Q3
PEDIATRICS	Developmental Neurorehabilitation	1.239 	Q4
PEDIATRICS	CONGENITAL ANOMALIES	1.230 	Q4
PEDIATRICS	INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY	1.225 	Q3
PEDIATRICS	PEDIATRIC DERMATOLOGY	1.178 	Q3
PEDIATRICS	World Journal of Pediatrics	1.169 	Q4
PEDIATRICS	ANALES DE PEDIATRIA	1.166 	Q4
PEDIATRICS	INDIAN PEDIATRICS	1.163 	Q3
PEDIATRICS	EUROPEAN JOURNAL OF PEDIATRIC SURGERY	1.148 	Q4
PEDIATRICS	INDIAN JOURNAL OF PEDIATRICS	1.136 	Q4
PEDIATRICS	JOURNAL OF PERINATAL & NEONATAL NURSING	1.133 	Q4
PEDIATRICS	Journal for Specialists in Pediatric Nursing	1.130 	Q4
PEDIATRICS	PEDIATRIC EMERGENCY CARE	1.119 	Q4
PEDIATRICS	Journal of Pediatric Health Care	1.115 	Q4
PEDIATRICS	Paediatrics & Child Health	1.059 	Q4
PEDIATRICS	JOURNAL OF AAPOS	1.056 	Q4
PEDIATRICS	JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS	1.054 	Q4
PEDIATRICS	PEDIATRIC HEMATOLOGY AND ONCOLOGY	1.041 	Q4
PEDIATRICS	PEDIATRIC AND DEVELOPMENTAL PATHOLOGY	1.008 	Q4
PEDIATRICS	JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY	0.947 	Q4
PEDIATRICS	CARDIOLOGY IN THE YOUNG	0.943 	Q4
PEDIATRICS	PEDIATRICS INTERNATIONAL	0.939 	Q4
PEDIATRICS	PEDIATRIC ANNALS	0.926 	Q4
PEDIATRICS	European Journal of Paediatric Dentistry	0.870 	Q4
PEDIATRICS	Pediatric Physical Therapy	0.863 	Q4
PEDIATRICS	MINERVA PEDIATRICA	0.832 	Q4
PEDIATRICS	KLINISCHE PADIATRIE	0.800 	Q4
PEDIATRICS	PEDIATRIC NEUROSURGERY	0.783 	Q4
PEDIATRICS	JOURNAL OF PEDIATRIC ORTHOPAEDICS-PART B	0.740 	Q4
PEDIATRICS	Journal of Clinical Pediatric Dentistry	0.731	Q4
PEDIATRICS	Fetal and Pediatric Pathology	0.626 	Q4
PEDIATRICS	Iranian Journal of Pediatrics	0.587 	Q4
PEDIATRICS	Pediatric Allergy Immunology and Pulmonology	0.551 	Q4
PEDIATRICS	Archivos Argentinos de Pediatria	0.506 	Q4
PEDIATRICS	ARCHIVES DE PEDIATRIE	0.362 	Q4
PEDIATRICS	MONATSSCHRIFT KINDERHEILKUNDE	0.312 	Q4
PEDIATRICS	ZEITSCHRIFT FUR GEBURTSHILFE UND NEONATOLOGIE	0.304 	Q4
PEDIATRICS	TURKISH JOURNAL OF PEDIATRICS	0.275 	Q4
PEDIATRICS	Journal of Pediatric Infectious Diseases	0.197 	Q4
PEDIATRICS	Hong Kong Journal of Paediatrics	0.197 	Q4
PERIPHERAL VASCULAR DISEASE	CIRCULATION	23.054 	Q1
PERIPHERAL VASCULAR DISEASE	CIRCULATION RESEARCH	15.862 	Q1
PERIPHERAL VASCULAR DISEASE	HYPERTENSION	7.017 	Q1
PERIPHERAL VASCULAR DISEASE	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	6.618 	Q1
PERIPHERAL VASCULAR DISEASE	STROKE	6.046 	Q1
PERIPHERAL VASCULAR DISEASE	ANGIOGENESIS	5.759 	Q2
PERIPHERAL VASCULAR DISEASE	Journal of Stroke	5.571 	Q4
PERIPHERAL VASCULAR DISEASE	CURRENT OPINION IN LIPIDOLOGY	4.844 	Q3
PERIPHERAL VASCULAR DISEASE	THROMBOSIS AND HAEMOSTASIS	4.733 	Q1
PERIPHERAL VASCULAR DISEASE	JOURNAL OF THROMBOSIS AND HAEMOSTASIS	4.662 	Q1
PERIPHERAL VASCULAR DISEASE	International Journal of Stroke	4.466 	Q2
PERIPHERAL VASCULAR DISEASE	ATHEROSCLEROSIS	4.255 	Q2
PERIPHERAL VASCULAR DISEASE	JOURNAL OF HYPERTENSION	4.209 	Q1
PERIPHERAL VASCULAR DISEASE	AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY	4.048 	Q2
PERIPHERAL VASCULAR DISEASE	Current Atherosclerosis Reports	3.769 	Q3
PERIPHERAL VASCULAR DISEASE	EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY	3.642 	Q1
PERIPHERAL VASCULAR DISEASE	CURRENT HYPERTENSION REPORTS	3.606 	Q3
PERIPHERAL VASCULAR DISEASE	Journal of Atherosclerosis and Thrombosis	3.478 	Q2
PERIPHERAL VASCULAR DISEASE	SEMINARS IN THROMBOSIS AND HEMOSTASIS	3.401 	Q2
PERIPHERAL VASCULAR DISEASE	THROMBOSIS RESEARCH	3.266 	Q2
PERIPHERAL VASCULAR DISEASE	JOURNAL OF VASCULAR SURGERY	3.243 	Q2
PERIPHERAL VASCULAR DISEASE	HYPERTENSION RESEARCH	3.217 	Q2
PERIPHERAL VASCULAR DISEASE	SHOCK	3.083 	Q2
PERIPHERAL VASCULAR DISEASE	CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION	3.013 	Q2
PERIPHERAL VASCULAR DISEASE	JOURNAL OF ENDOVASCULAR THERAPY	2.986 	Q2
PERIPHERAL VASCULAR DISEASE	JOURNAL OF THROMBOSIS AND THROMBOLYSIS	2.941 	Q2
PERIPHERAL VASCULAR DISEASE	JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY	2.828 	Q2
PERIPHERAL VASCULAR DISEASE	Journal of Vascular Surgery-Venous and Lymphatic Disorders	2.696 	Q4
PERIPHERAL VASCULAR DISEASE	CEREBROVASCULAR DISEASES	2.681 	Q2
PERIPHERAL VASCULAR DISEASE	MICROCIRCULATION	2.679 	Q3
PERIPHERAL VASCULAR DISEASE	MICROVASCULAR RESEARCH	2.604 	Q2
PERIPHERAL VASCULAR DISEASE	Current Vascular Pharmacology	2.583 	Q3
PERIPHERAL VASCULAR DISEASE	AMERICAN JOURNAL OF HYPERTENSION	2.530 	Q3
PERIPHERAL VASCULAR DISEASE	Journal of Clinical Hypertension	2.444 	Q3
PERIPHERAL VASCULAR DISEASE	ANGIOLOGY	2.376 	Q3
PERIPHERAL VASCULAR DISEASE	Diabetes & Vascular Disease Research	2.357 	Q3
